tenure_months,monthly_charge,support_calls,plan,contract,churned
68,79.89,6,plus,monthly,1
45,,1,basic,monthly,0
49,94.87,0,basic,monthly,0
64,50.69,2,basic,monthly,0
42,68.6,0,basic,yearly,0
56,88.28,1,plus,yearly,0
60,84.6,1,basic,monthly,0
16,96.77,2,basic,yearly,0
4,79.93,2,premium,monthly,0
22,62.26,4,premium,monthly,0
21,,2,basic,monthly,0
63,44.94,2,basic,monthly,0
65,29.01,0,plus,yearly,0
1,84.52,2,basic,yearly,0
36,68.62,2,basic,monthly,1
59,77.71,3,basic,monthly,0
10,27.56,1,premium,monthly,1
57,60.87,3,basic,monthly,0
9,55.0,2,premium,yearly,0
34,48.39,1,basic,yearly,0
58,15.0,0,basic,monthly,1
22,61.63,0,basic,monthly,0
25,92.43,1,premium,monthly,0
20,79.52,2,premium,yearly,0
52,54.98,1,basic,yearly,0
19,69.63,2,plus,yearly,0
71,88.92,1,basic,monthly,0
32,15.0,1,plus,monthly,0
34,66.89,2,basic,monthly,0
36,83.58,2,premium,yearly,0
42,87.05,4,basic,yearly,1
40,112.52,3,premium,monthly,0
37,98.38,1,basic,monthly,1
71,77.81,3,plus,yearly,1
58,77.55,2,basic,monthly,1
57,89.67,3,plus,monthly,0
50,56.52,2,plus,monthly,0
45,69.0,1,plus,yearly,0
25,92.66,1,basic,monthly,0
71,118.94,1,basic,monthly,0
34,66.02,1,premium,yearly,0
16,68.79,3,basic,monthly,1
61,74.96,2,basic,yearly,0
12,103.58,4,basic,monthly,1
61,69.24,0,plus,monthly,0
44,106.73,1,premium,monthly,0
9,45.83,2,basic,monthly,1
4,65.35,2,basic,yearly,0
32,65.05,1,basic,yearly,0
3,89.66,3,basic,monthly,1
11,96.13,1,basic,monthly,1
37,32.26,1,basic,monthly,0
69,47.12,0,basic,yearly,0
34,78.42,1,premium,yearly,0
58,53.53,2,basic,monthly,0
66,31.94,4,plus,monthly,1
59,95.96,1,basic,monthly,0
45,,3,basic,monthly,1
32,82.33,1,premium,monthly,1
37,58.11,1,basic,monthly,0
19,95.72,0,basic,monthly,0
36,64.0,0,premium,yearly,0
27,97.41,1,basic,yearly,0
18,47.21,0,basic,yearly,0
71,48.65,1,premium,yearly,0
1,75.12,2,basic,monthly,0
7,52.44,0,premium,monthly,0
14,86.89,1,basic,monthly,0
69,76.5,0,plus,monthly,0
50,46.93,0,basic,monthly,0
63,71.82,3,basic,monthly,0
15,61.22,2,premium,monthly,0
52,92.9,1,premium,monthly,0
27,54.19,0,basic,yearly,0
35,59.02,3,plus,yearly,0
1,100.28,3,basic,monthly,1
44,125.96,3,basic,monthly,0
59,119.98,0,basic,monthly,0
48,71.58,1,plus,yearly,0
11,75.47,0,plus,monthly,0
38,108.34,0,plus,yearly,0
19,66.89,1,plus,yearly,0
69,45.59,1,basic,yearly,0
63,72.92,0,basic,yearly,0
14,81.29,2,basic,monthly,0
37,49.27,0,basic,monthly,0
67,28.84,0,premium,yearly,0
61,34.08,2,basic,monthly,0
51,86.64,3,plus,monthly,0
46,51.04,0,premium,monthly,0
3,66.47,0,premium,monthly,0
53,75.31,2,plus,monthly,1
34,85.48,2,plus,yearly,0
7,61.63,0,basic,monthly,0
18,82.47,2,plus,yearly,0
39,47.75,1,basic,monthly,0
52,60.96,1,plus,monthly,0
37,44.39,1,basic,yearly,0
44,98.29,0,premium,monthly,0
62,69.32,3,basic,monthly,1
49,51.52,1,plus,monthly,0
26,61.19,1,premium,yearly,1
46,64.46,1,basic,yearly,0
43,87.51,0,premium,monthly,0
8,30.11,0,plus,monthly,0
5,44.07,2,plus,monthly,1
47,60.55,1,basic,monthly,0
28,133.31,3,basic,yearly,0
43,93.89,3,basic,monthly,0
23,67.21,2,basic,yearly,0
17,87.8,2,plus,monthly,1
11,121.44,1,plus,monthly,1
28,64.16,2,plus,monthly,1
58,60.84,2,basic,monthly,0
29,100.3,2,basic,monthly,0
27,82.35,3,plus,monthly,1
41,86.78,0,premium,monthly,0
70,57.29,0,basic,yearly,0
28,118.11,4,basic,yearly,0
42,112.74,2,basic,monthly,1
32,84.15,1,premium,monthly,0
43,87.11,1,basic,monthly,0
32,19.32,0,premium,yearly,0
46,85.94,0,plus,monthly,0
39,,0,basic,monthly,0
49,80.85,3,plus,monthly,1
68,87.06,0,basic,yearly,0
11,61.47,2,plus,monthly,1
40,27.74,1,basic,yearly,0
32,79.2,0,premium,monthly,0
26,51.47,2,basic,monthly,1
18,61.75,1,premium,yearly,0
4,54.89,1,plus,yearly,0
29,61.46,1,basic,monthly,0
59,15.0,1,premium,yearly,0
7,100.42,3,basic,monthly,1
29,76.33,4,premium,yearly,0
69,97.78,3,premium,yearly,0
68,119.5,2,premium,monthly,0
16,70.56,0,plus,yearly,0
1,24.94,2,plus,monthly,1
48,,4,premium,monthly,0
2,39.83,1,basic,monthly,0
22,57.45,0,premium,monthly,0
36,71.99,3,plus,monthly,0
63,19.95,3,premium,yearly,0
7,78.56,0,basic,monthly,0
48,32.24,4,plus,monthly,0
38,77.43,1,basic,monthly,0
