amount,visits,channel,segment,fraud
322.46,2,mobile,business,0
46.66,29,mobile,consumer,0
225.09,19,store,business,0
165.93,26,web,consumer,0
172.84,27,web,consumer,0
187.06,7,mobile,consumer,0
78.8,7,mobile,business,0
186.08,5,web,consumer,0
148.09,8,mobile,consumer,0
399.38,15,mobile,consumer,1
,25,mobile,consumer,0
178.84,17,web,consumer,0
183.12,13,mobile,consumer,0
159.92,11,,consumer,0
,24,store,consumer,0
176.55,18,mobile,consumer,0
228.92,13,web,consumer,0
185.69,20,mobile,consumer,0
257.47,29,web,consumer,0
188.01,24,mobile,consumer,0
201.46,13,mobile,consumer,0
292.75,8,web,business,0
232.71,9,mobile,consumer,0
169.69,19,mobile,business,0
189.03,24,mobile,consumer,0
232.43,2,web,consumer,0
316.11,26,mobile,consumer,0
183.82,2,web,business,0
185.39,17,web,consumer,0
260.14,2,,consumer,0
146.81,4,web,consumer,0
182.5,4,store,consumer,0
252.95,1,web,consumer,0
234.82,23,web,business,0
205.49,13,web,consumer,0
240.21,11,store,consumer,0
,21,store,business,1
261.28,15,store,consumer,1
142.42,12,web,consumer,0
99.88,14,web,consumer,0
216.59,13,store,consumer,0
242.03,7,web,consumer,1
173.31,22,mobile,consumer,0
135.42,2,web,consumer,0
201.57,1,store,consumer,0
196.84,6,mobile,business,0
284.34,22,mobile,business,0
244.84,25,mobile,consumer,0
211.63,23,web,consumer,0
266.7,10,mobile,business,0
187.67,17,,consumer,0
144.45,13,web,consumer,0
235.04,4,mobile,consumer,0
234.95,8,web,business,0
187.11,5,store,consumer,1
153.03,22,web,consumer,0
213.75,24,mobile,consumer,0
50.37,21,store,consumer,0
241.41,29,web,consumer,0
229.48,12,store,consumer,0
101.67,5,web,business,0
203.68,15,web,consumer,0
142.15,17,mobile,business,1
,12,store,business,0
77.95,19,mobile,consumer,0
,17,web,business,0
,19,web,business,0
269.38,18,web,business,0
70.52,24,mobile,consumer,0
170.12,17,mobile,consumer,0
219.68,23,,business,1
163.45,27,,consumer,0
295.44,26,mobile,consumer,0
128.53,28,store,business,1
221.27,14,store,consumer,0
137.1,2,,consumer,1
,21,web,consumer,0
198.7,12,web,consumer,0
177.66,10,mobile,consumer,0
96.91,2,mobile,consumer,0
,2,web,business,0
245.17,11,web,consumer,0
245.21,4,web,consumer,0
268.27,24,store,consumer,1
220.95,1,web,consumer,0
,20,web,consumer,0
151.99,16,,business,0
151.99,17,web,consumer,0
282.2,15,store,business,0
112.38,3,web,consumer,0
164.22,2,web,business,1
180.73,24,store,consumer,0
213.48,28,web,consumer,0
234.52,18,store,business,0
125.05,4,store,consumer,1
96.2,9,web,business,0
199.74,18,web,business,0
272.81,23,store,consumer,0
245.42,3,web,consumer,0
,2,store,consumer,0
180.97,22,store,business,0
