sqft,price
300,93750.0
301,94062.5
302,94375.0
303,94687.5
304,95000.0
305,95312.5
306,95625.0
307,95937.5
308,96250.0
309,96562.5
310,96875.0
311,97187.5
312,97500.0
313,97812.5
314,98125.0
315,98437.5
316,98750.0
317,99062.5
318,99375.0
319,99687.5
320,100000.0
321,100312.5
322,100625.0
323,100937.5
324,101250.0
325,101562.5
326,101875.0
327,102187.5
328,102500.0
329,102812.5
330,103125.0
331,103437.5
332,103750.0
333,104062.5
334,104375.0
335,104687.5
336,105000.0
337,105312.5
338,105625.0
339,105937.5
340,106250.0
341,106562.5
342,106875.0
343,107187.5
344,107500.0
345,107812.5
346,108125.0
347,108437.5
348,108750.0
349,109062.5
350,109375.0
351,109687.5
352,110000.0
353,110312.5
354,110625.0
355,110937.5
356,111250.0
357,111562.5
358,111875.0
359,112187.5
360,112500.0
361,112812.5
362,113125.0
363,113437.5
364,113750.0
365,114062.5
366,114375.0
367,114687.5
368,115000.0
369,115312.5
370,115625.0
371,115937.5
372,116250.0
373,116562.5
374,116875.0
375,117187.5
376,117500.0
377,117812.5
378,118125.0
379,118437.5
380,118750.0
381,119062.5
382,119375.0
383,119687.5
384,120000.0
385,120312.5
386,120625.0
387,120937.5
388,121250.0
389,121562.5
390,121875.0
391,122187.5
392,122500.0
393,122812.5
394,123125.0
395,123437.5
396,123750.0
397,124062.5
398,124375.0
399,124687.5
